id,question,A,B,C,D,solution,category,difficulty
1,What is the chemical formula of water?,H₂O,CO₂,O₂,H₂,A,university,easy
2,Which subatomic particle has a negative charge?,Proton,Neutron,Electron,Meson,C,university,easy
3,Which of these is a state of matter?,Plasma,Reactive,Ether,Light,A,university,easy
4,Which unit is used to measure the amount of substance?,Liter,Mole,Gram,Joule,B,university,easy
5,What is the charge of the proton?,Negative,Positive,Neutral,Variable,B,university,easy
6,What is the smallest particle that retains the properties of an element?,Molecule,Atom,Electron,Nucleus,B,university,easy
7,What does 'aq' mean in a chemical equation?,Solid,Liquid,Dissolved in water,Gas,C,university,easy
8,What is the main gas of the Earth's atmosphere?,Oxygen,Nitrogen,Argon,Carbon dioxide,B,university,easy
9,What defines the atomic number of an element?,Number of protons,Number of neutrons,Number of electrons,Molecular mass,A,university,easy
10,What is the name of the vertical column in the periodic table?,Period,Group,Block,Row,B,university,easy
11,In which group of the periodic table are the noble gases found?,Group 1,Group 2,Group 17,Group 18,D,university,easy
12,What is the name of the change of state from solid to liquid?,Sublimation,Fusion,Evaporation,Condensation,B,university,easy
13,Which number represents Avogadro's number?,6.022 x 10²³,9.81 x 10²,3.14 x 10⁰,1.602 x 10⁻19,A,university,easy
14,What does pH measure?,Solute concentration,Solution temperature,Acidity or alkalinity,Partial pressure of a gas,C,university,easy
15,What is the force of attraction between masses called?,Nuclear force,Electrostatic force,Gravitational force,Magnetic force,C,university,easy
16,Which of the following options is a strong base?,NaOH,HCl,CH₃COOH,NH₃,A,university,easy
17,What type of bond is formed when electrons are shared?,Ionic,Covalent,Metallic,Hydrogen bond,B,university,easy
18,Which of these quantities is measured in liters?,Mass,Energy,Volume,Pressure,C,university,easy
19,How many oxygen atoms are in an ozone molecule?,1,2,3,4,C,university,easy
20,What is the symbol for sodium?,So,Na,S,Sn,B,university,easy
21,Which state of matter has neither a defined shape nor volume?,Solid,Liquid,Gas,Plasma,C,university,easy
22,Which subatomic particle determines chemical reactivity?,Electron,Proton,Neutron,Quark,A,university,easy
23,What happens when an atom gains electrons?,Forms a cation,Forms an anion,Remains neutral,Becomes an isotope,B,university,easy
24,What is the formula for the hydronium ion?,H⁻,OH⁻,H₃O⁺,H₂O₂,C,university,easy
25,What happens if you combine an acid and a base in equivalent amounts?,A noble gas is formed,Neutralization occurs,pH increases to 14,Nothing happens,B,university,easy
26,What does 's' mean in a chemical equation?,Aqueous solution,Solid phase,Gaseous phase,Liquid phase,B,university,easy
27,What is the positively charged particle in the nucleus?,Meson,Proton,Positron,Electron,B,university,easy
28,Which of the following is a unit of pressure?,Pascal,Joule,Kelvin,Coulomb,A,university,easy
29,What happens when the temperature of a gas in a closed container increases?,Pressure decreases,Pressure increases,No change,It liquefies,B,university,easy
30,What does the symbol '?' mean in a chemical reaction?,Low temperature,Incomplete reaction,Heating,Constant volume,C,university,easy
31,Which of these species is a free radical?,O₂,H₂O,Cl·,NH₄⁺,C,university,medium
32,Which of the following quantities is conserved in a chemical reaction?,Total volume,Total mass,Pressure,Enthalpy,B,university,medium
33,What is the name of a solution that can resist pH changes when an acid or base is added?,Isotonic,Supersaturated,Buffer,Colloid,C,university,medium
34,What is the empirical formula of hydrogen peroxide (H₂O₂)?,HO,H₂O₂,H₂O,HO₂,A,university,medium
35,What is enthalpy (H)?,Heat absorbed at constant pressure,Heat absorbed at constant volume,Free energy of the system,Potential energy,A,university,medium
36,Which of these forces is the weakest?,Covalent bond,Ionic bond,Hydrogen bond,Van der Waals forces,D,university,medium
37,What does Charles's law state?,P₁V₁ = P₂V₂,V₁/T₁ = V₂/T₂,PV = nRT,V₁n₁ = V₂n₂,B,university,medium
38,What type of reaction is: A + BC -> AC + B?,Neutralization,Double displacement,Single displacement,Synthesis,C,university,medium
39,What is the limiting reactant in a chemical reaction?,The one that is used up first,The one in greatest quantity,The one that does not react,The one that determines the enthalpy,A,university,medium
40,What is the substance called that speeds up a reaction without being consumed?,Solute,Catalyst,Intermediate,Inhibitor,B,university,medium
41,What is the ionic product of water (Kw) at 25°C?,1 x 10⁻¹⁴,1 x 10⁻⁷,1 x 10¹⁴,0,A,university,medium
42,What type of compound results from the reaction between an acid and an alcohol?,Aldehyde,Ether,Ester,Amine,C,university,medium
43,What is the main characteristic of an ideal gas?,Has no volume,No intermolecular forces,Easily liquefies,Is diatomic,B,university,medium
44,What is the SI unit of the gas constant (R)?,J/(mol·K),L/(atm·K),N/(m·K),g/(mol·K),A,university,medium
45,What happens in an endothermic process?,Energy is released,No heat transfer,Heat is absorbed,Entropy changes but enthalpy does not,C,university,medium
46,What does Hess's law express?,Heat of reaction depends on the path,Heat of reaction is independent of the path,Heat of reaction is always zero,Heat of reaction cannot be measured,B,university,medium
47,What is a polar bond?,A bond with equal electron distribution,A bond that shares protons,A bond with unequal electron distribution,A bond that breaks the octet rule,C,university,medium
48,What does it mean for a reaction to be at equilibrium?,Reaction stops,Reactant and product concentrations are equal,Forward and reverse rates are equal,Catalyst deactivates,C,university,medium
49,What is the oxidation number of oxygen in most compounds?,-2,-1,0,2,A,university,medium
50,What is the pH of a solution with [H⁺] = 1×10⁻⁵ M?,5,9,14,2,A,university,medium
51,What type of interaction stabilizes micelles in solution?,Metallic interactions,Strong electrostatic attractions,Hydrophobic interactions,Ionic bonds,C,university,medium
